text-filter,pos_tags,affordance_y,words,stemmed_words,stem_no_stop,cluster,pos_list,tag_cluster
"a secondary phone for me to take with me when i go out to clubs, bars, or travel the world so I can use the amazing xenon flash, and GPS.","['DT', 'JJ', 'NN', 'IN', 'PRP', 'TO', 'VB', 'IN', 'PRP', 'WRB', 'NN', 'VBP', 'RP', 'TO', 'NNS', ',', 'NNS', ',', 'CC', 'VB', 'DT', 'NN', 'IN', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'NN', ',', 'CC', 'NNP', '.']",heavy duty ,"['a', 'secondary', 'phone', 'for', 'me', 'to', 'take', 'with', 'me', 'when', 'i', 'go', 'out', 'to', 'clubs', ',', 'bars', ',', 'or', 'travel', 'the', 'world', 'so', 'I', 'can', 'use', 'the', 'amazing', 'xenon', 'flash', ',', 'and', 'GPS', '.']","['a', 'secondari', 'phone', 'for', 'me', 'to', 'take', 'with', 'me', 'when', 'i', 'go', 'out', 'to', 'club', ',', 'bar', ',', 'or', 'travel', 'the', 'world', 'so', 'I', 'can', 'use', 'the', 'amaz', 'xenon', 'flash', ',', 'and', 'gp', '.']","['secondari', 'phone', 'take', 'go', 'club', ',', 'bar', ',', 'travel', 'world', 'I', 'use', 'amaz', 'xenon', 'flash', ',', 'gp', '.']",0,"DT JJ NN IN PRP TO VB IN PRP WRB NN VBP RP TO NNS , NNS , CC VB DT NN IN PRP MD VB DT JJ NN NN , CC NNP .",1
Micro-SD capability also affords me a lot of versatility,"['NNP', 'NN', 'RB', 'VBZ', 'PRP', 'DT', 'NN', 'IN', 'NN']",versatility,"['Micro-SD', 'capability', 'also', 'affords', 'me', 'a', 'lot', 'of', 'versatility']","['micro-sd', 'capabl', 'also', 'afford', 'me', 'a', 'lot', 'of', 'versatil']","['micro-sd', 'capabl', 'also', 'afford', 'lot', 'versatil']",2,NNP NN RB VBZ PRP DT NN IN NN,2
Good GPS which can be used in offline mode.,"['NNP', 'NNP', 'WDT', 'MD', 'VB', 'VBN', 'IN', 'JJ', 'NN', '.']",navigation,"['Good', 'GPS', 'which', 'can', 'be', 'used', 'in', 'offline', 'mode', '.']","['good', 'gp', 'which', 'can', 'be', 'use', 'in', 'offlin', 'mode', '.']","['good', 'gp', 'use', 'offlin', 'mode', '.']",2,NNP NNP WDT MD VB VBN IN JJ NN .,3
"Screen has perfect size and brightness","['NN', 'VBZ', 'JJ', 'NN', 'CC', 'NN']","screen","['Screen', 'has', 'perfect', 'size', 'and', 'brightness']","['screen', 'ha', 'perfect', 'size', 'and', 'bright']","['screen', 'ha', 'perfect', 'size', 'bright']",1,NN VBZ JJ NN CC NN,0
"Almost indestructible","['RB', 'JJ']","resistance","['Almost', 'indestructible']","['almost', 'indestruct']","['almost', 'indestruct']",2,RB JJ,0
,[],"resistance",[],[],[],2,,3
"Best camera","['JJS', 'NN']","camera","['Best', 'camera']","['best', 'camera']","['best', 'camera']",2,JJS NN,3
,[],"screen",[],[],[],2,,3
32Gb storage is more than enough to store music and lots of photos,"['CD', 'NN', 'VBZ', 'JJR', 'IN', 'JJ', 'TO', 'VB', 'NN', 'CC', 'NNS', 'IN', 'NNS']",storage,"['32Gb', 'storage', 'is', 'more', 'than', 'enough', 'to', 'store', 'music', 'and', 'lots', 'of', 'photos']","['32gb', 'storag', 'is', 'more', 'than', 'enough', 'to', 'store', 'music', 'and', 'lot', 'of', 'photo']","['32gb', 'storag', 'enough', 'store', 'music', 'lot', 'photo']",2,CD NN VBZ JJR IN JJ TO VB NN CC NNS IN NNS,3
battery time it lasts about 12-13 hours talk time or 300 hrs stand-by,"['NN', 'NN', 'PRP', 'VBZ', 'IN', 'JJ', 'NNS', 'NN', 'NN', 'CC', 'CD', 'JJ', 'NN']",battery life,"['battery', 'time', 'it', 'lasts', 'about', '12-13', 'hours', 'talk', 'time', 'or', '300', 'hrs', 'stand-by']","['batteri', 'time', 'it', 'last', 'about', '12-13', 'hour', 'talk', 'time', 'or', '300', 'hr', 'stand-bi']","['batteri', 'time', 'last', '12-13', 'hour', 'talk', 'time', '300', 'hr', 'stand-bi']",2,NN NN PRP VBZ IN JJ NNS NN NN CC CD JJ NN,0
customizing capabilities of the Symbian OS allow me many personalizing options,"['VBG', 'NNS', 'IN', 'DT', 'JJ', 'NNP', 'IN', 'PRP', 'JJ', 'VBG', 'NNS']",customize-ability,"['customizing', 'capabilities', 'of', 'the', 'Symbian', 'OS', 'allow', 'me', 'many', 'personalizing', 'options']","['custom', 'capabl', 'of', 'the', 'symbian', 'OS', 'allow', 'me', 'mani', 'person', 'option']","['custom', 'capabl', 'symbian', 'OS', 'allow', 'mani', 'person', 'option']",2,VBG NNS IN DT JJ NNP IN PRP JJ VBG NNS,3
 has an FM radio built in,"['VBZ', 'DT', 'NNP', 'NN', 'VBN', 'IN']",radio feature,"['has', 'an', 'FM', 'radio', 'built', 'in']","['ha', 'an', 'FM', 'radio', 'built', 'in']","['ha', 'FM', 'radio', 'built']",2,VBZ DT NNP NN VBN IN,3
"happy to have the return of what I think would be expected features on any phone, like a decent calendar and calculator app, and reminders","['JJ', 'TO', 'VB', 'DT', 'NN', 'IN', 'WP', 'PRP', 'VBP', 'MD', 'VB', 'VBN', 'NNS', 'IN', 'DT', 'NN', ',', 'IN', 'DT', 'JJ', 'NN', 'CC', 'NN', 'NN', ',', 'CC', 'NNS']",features,"['happy', 'to', 'have', 'the', 'return', 'of', 'what', 'I', 'think', 'would', 'be', 'expected', 'features', 'on', 'any', 'phone', ',', 'like', 'a', 'decent', 'calendar', 'and', 'calculator', 'app', ',', 'and', 'reminders']","['happi', 'to', 'have', 'the', 'return', 'of', 'what', 'I', 'think', 'would', 'be', 'expect', 'featur', 'on', 'ani', 'phone', ',', 'like', 'a', 'decent', 'calendar', 'and', 'calcul', 'app', ',', 'and', 'remind']","['happi', 'return', 'I', 'think', 'would', 'expect', 'featur', 'ani', 'phone', ',', 'like', 'decent', 'calendar', 'calcul', 'app', ',', 'remind']",0,"JJ TO VB DT NN IN WP PRP VBP MD VB VBN NNS IN DT NN , IN DT JJ NN CC NN NN , CC NNS",1
"out of box drivers to support bluetooth devices like mouse, keyboard etc","['IN', 'IN', 'NN', 'NNS', 'TO', 'VB', 'DT', 'NNS', 'IN', 'NN', ',', 'NN', 'NN']",external drivers,"['out', 'of', 'box', 'drivers', 'to', 'support', 'bluetooth', 'devices', 'like', 'mouse', ',', 'keyboard', 'etc']","['out', 'of', 'box', 'driver', 'to', 'support', 'bluetooth', 'devic', 'like', 'mous', ',', 'keyboard', 'etc']","['box', 'driver', 'support', 'bluetooth', 'devic', 'like', 'mous', ',', 'keyboard', 'etc']",2,"IN IN NN NNS TO VB DT NNS IN NN , NN NN",3
"out of box drivers to support bluetooth devices like mouse, keyboard e","['IN', 'IN', 'NN', 'NNS', 'TO', 'VB', 'DT', 'NNS', 'IN', 'NN', ',', 'NN', 'NN']",external drivers,"['out', 'of', 'box', 'drivers', 'to', 'support', 'bluetooth', 'devices', 'like', 'mouse', ',', 'keyboard', 'e']","['out', 'of', 'box', 'driver', 'to', 'support', 'bluetooth', 'devic', 'like', 'mous', ',', 'keyboard', 'e']","['box', 'driver', 'support', 'bluetooth', 'devic', 'like', 'mous', ',', 'keyboard', 'e']",2,"IN IN NN NNS TO VB DT NNS IN NN , NN NN",3
"At 10ft distance my N82 photo is nice and sharp; the N8 photo is grainy.","['IN', 'CD', 'NN', 'PRP$', 'NNP', 'NN', 'VBZ', 'JJ', 'CC', 'JJ', ':', 'DT', 'NNP', 'NN', 'VBZ', 'JJ', '.']",camera features,"['At', '10ft', 'distance', 'my', 'N82', 'photo', 'is', 'nice', 'and', 'sharp', ';', 'the', 'N8', 'photo', 'is', 'grainy', '.']","['At', '10ft', 'distanc', 'my', 'n82', 'photo', 'is', 'nice', 'and', 'sharp', ';', 'the', 'N8', 'photo', 'is', 'graini', '.']","['At', '10ft', 'distanc', 'n82', 'photo', 'nice', 'sharp', ';', 'N8', 'photo', 'graini', '.']",2,IN CD NN PRP$ NNP NN VBZ JJ CC JJ : DT NNP NN VBZ JJ .,0
,[],camera features,[],[],[],2,,3
How they hell Nokia could not figure out a way to support social networking features in just wifi mode.,"['WRB', 'PRP', 'VBP', 'NNP', 'MD', 'RB', 'VB', 'RP', 'DT', 'NN', 'TO', 'VB', 'JJ', 'NN', 'NNS', 'IN', 'RB', 'JJ', 'NN', '.']",social network features,"['How', 'they', 'hell', 'Nokia', 'could', 'not', 'figure', 'out', 'a', 'way', 'to', 'support', 'social', 'networking', 'features', 'in', 'just', 'wifi', 'mode', '.']","['how', 'they', 'hell', 'nokia', 'could', 'not', 'figur', 'out', 'a', 'way', 'to', 'support', 'social', 'network', 'featur', 'in', 'just', 'wifi', 'mode', '.']","['hell', 'nokia', 'could', 'figur', 'way', 'support', 'social', 'network', 'featur', 'wifi', 'mode', '.']",2,WRB PRP VBP NNP MD RB VB RP DT NN TO VB JJ NN NNS IN RB JJ NN .,1
the camera does a pretty good job of guessing the best conditions,"['DT', 'NN', 'VBZ', 'DT', 'RB', 'JJ', 'NN', 'IN', 'VBG', 'DT', 'JJS', 'NNS']","camera features","['the', 'camera', 'does', 'a', 'pretty', 'good', 'job', 'of', 'guessing', 'the', 'best', 'conditions']","['the', 'camera', 'doe', 'a', 'pretti', 'good', 'job', 'of', 'guess', 'the', 'best', 'condit']","['camera', 'doe', 'pretti', 'good', 'job', 'guess', 'best', 'condit']",2,DT NN VBZ DT RB JJ NN IN VBG DT JJS NNS,2
"When I get phone calls, the sound is really bad and quite.","['WRB', 'PRP', 'VBP', 'NN', 'NNS', ',', 'DT', 'NN', 'VBZ', 'RB', 'JJ', 'CC', 'RB', '.']",sound quality #missing,"['When', 'I', 'get', 'phone', 'calls', ',', 'the', 'sound', 'is', 'really', 'bad', 'and', 'quite', '.']","['when', 'I', 'get', 'phone', 'call', ',', 'the', 'sound', 'is', 'realli', 'bad', 'and', 'quit', '.']","['I', 'get', 'phone', 'call', ',', 'sound', 'realli', 'bad', 'quit', '.']",0,"WRB PRP VBP NN NNS , DT NN VBZ RB JJ CC RB .",2
"A little slow surfing the internet","['DT', 'JJ', 'JJ', 'VBG', 'DT', 'NN']","internet speed #missing","['A', 'little', 'slow', 'surfing', 'the', 'internet']","['A', 'littl', 'slow', 'surf', 'the', 'internet']","['A', 'littl', 'slow', 'surf', 'internet']",3,DT JJ JJ VBG DT NN,2
"screen is a little too small,","['NN', 'VBZ', 'DT', 'JJ', 'RB', 'JJ', ',']","screen size #missing","['screen', 'is', 'a', 'little', 'too', 'small', ',']","['screen', 'is', 'a', 'littl', 'too', 'small', ',']","['screen', 'littl', 'small', ',']",1,"NN VBZ DT JJ RB JJ ,",0
"Apps:Pretty horrible compared to the androids and iphone","['NN', ':', 'NNP', 'JJ', 'VBN', 'TO', 'DT', 'NNS', 'CC', 'NN']","Apps #missing","['Apps', ':', 'Pretty', 'horrible', 'compared', 'to', 'the', 'androids', 'and', 'iphone']","['app', ':', 'pretti', 'horribl', 'compar', 'to', 'the', 'android', 'and', 'iphon']","['app', ':', 'pretti', 'horribl', 'compar', 'android', 'iphon']",2,NN : NNP JJ VBN TO DT NNS CC NN,3
,[],"internet speed #missing",[],[],[],2,,3
,[],"screen size #missing",[],[],[],2,,3
,[],"Apps #missing",[],[],[],2,,3
GPS component is pretty sharp too: the refresh rate or processing speed keeps it from falling behind,"['NNP', 'NN', 'VBZ', 'JJ', 'JJ', 'RB', ':', 'DT', 'JJ', 'NN', 'CC', 'VBG', 'NN', 'NNS', 'PRP', 'IN', 'VBG', 'IN']",navigation,"['GPS', 'component', 'is', 'pretty', 'sharp', 'too', ':', 'the', 'refresh', 'rate', 'or', 'processing', 'speed', 'keeps', 'it', 'from', 'falling', 'behind']","['gp', 'compon', 'is', 'pretti', 'sharp', 'too', ':', 'the', 'refresh', 'rate', 'or', 'process', 'speed', 'keep', 'it', 'from', 'fall', 'behind']","['gp', 'compon', 'pretti', 'sharp', ':', 'refresh', 'rate', 'process', 'speed', 'keep', 'fall', 'behind']",2,NNP NN VBZ JJ JJ RB : DT JJ NN CC VBG NN NNS PRP IN VBG IN,0
as adding a number to an existing contact,"['IN', 'VBG', 'DT', 'NN', 'TO', 'DT', 'VBG', 'NN']",user friendly #missing,"['as', 'adding', 'a', 'number', 'to', 'an', 'existing', 'contact']","['as', 'ad', 'a', 'number', 'to', 'an', 'exist', 'contact']","['ad', 'number', 'exist', 'contact']",2,IN VBG DT NN TO DT VBG NN,2
it can definitely use more apps,"['PRP', 'MD', 'RB', 'VB', 'JJR', 'NN']",apps #missing,"['it', 'can', 'definitely', 'use', 'more', 'apps']","['it', 'can', 'definit', 'use', 'more', 'app']","['definit', 'use', 'app']",2,PRP MD RB VB JJR NN,1
A little difficulty to type but maybe that will get easier in time.,"['DT', 'JJ', 'NN', 'TO', 'VB', 'CC', 'RB', 'WDT', 'MD', 'VB', 'RBR', 'IN', 'NN', '.']",typing responsiveness #missing,"['A', 'little', 'difficulty', 'to', 'type', 'but', 'maybe', 'that', 'will', 'get', 'easier', 'in', 'time', '.']","['A', 'littl', 'difficulti', 'to', 'type', 'but', 'mayb', 'that', 'will', 'get', 'easier', 'in', 'time', '.']","['A', 'littl', 'difficulti', 'type', 'mayb', 'get', 'easier', 'time', '.']",2,DT JJ NN TO VB CC RB WDT MD VB RBR IN NN .,1
commenting on how easy it is to text ,"['VBG', 'IN', 'WRB', 'JJ', 'PRP', 'VBZ', 'TO', 'VB']",user friendly,"['commenting', 'on', 'how', 'easy', 'it', 'is', 'to', 'text']","['comment', 'on', 'how', 'easi', 'it', 'is', 'to', 'text']","['comment', 'easi', 'text']",2,VBG IN WRB JJ PRP VBZ TO VB,1
The most evaluate point is PC can access the Internet through N8 if N8 can access to Mobile Network.,"['DT', 'RBS', 'JJ', 'NN', 'VBZ', 'NN', 'MD', 'NN', 'DT', 'NNP', 'IN', 'NNP', 'IN', 'NNP', 'MD', 'NN', 'TO', 'NNP', 'NNP', '.']",connectivity,"['The', 'most', 'evaluate', 'point', 'is', 'PC', 'can', 'access', 'the', 'Internet', 'through', 'N8', 'if', 'N8', 'can', 'access', 'to', 'Mobile', 'Network', '.']","['the', 'most', 'evalu', 'point', 'is', 'PC', 'can', 'access', 'the', 'internet', 'through', 'N8', 'if', 'N8', 'can', 'access', 'to', 'mobil', 'network', '.']","['evalu', 'point', 'PC', 'access', 'internet', 'N8', 'N8', 'access', 'mobil', 'network', '.']",3,DT RBS JJ NN VBZ NN MD NN DT NNP IN NNP IN NNP MD NN TO NNP NNP .,3
"you move your finger across the keyboard and without lifting your finger, stop at the letters you want.","['PRP', 'VBP', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'CC', 'IN', 'VBG', 'PRP$', 'NN', ',', 'NN', 'IN', 'DT', 'NNS', 'PRP', 'VBP', '.']",keyboard features,"['you', 'move', 'your', 'finger', 'across', 'the', 'keyboard', 'and', 'without', 'lifting', 'your', 'finger', ',', 'stop', 'at', 'the', 'letters', 'you', 'want', '.']","['you', 'move', 'your', 'finger', 'across', 'the', 'keyboard', 'and', 'without', 'lift', 'your', 'finger', ',', 'stop', 'at', 'the', 'letter', 'you', 'want', '.']","['move', 'finger', 'across', 'keyboard', 'without', 'lift', 'finger', ',', 'stop', 'letter', 'want', '.']",2,"PRP VBP PRP$ NN IN DT NN CC IN VBG PRP$ NN , NN IN DT NNS PRP VBP .",1
it supported the 4G bands necessary to run on T-mobile with data.,"['PRP', 'VBD', 'DT', 'CD', 'NNS', 'JJ', 'TO', 'VB', 'IN', 'JJ', 'IN', 'NNS', '.']",internet speed,"['it', 'supported', 'the', '4G', 'bands', 'necessary', 'to', 'run', 'on', 'T-mobile', 'with', 'data', '.']","['it', 'support', 'the', '4G', 'band', 'necessari', 'to', 'run', 'on', 't-mobil', 'with', 'data', '.']","['support', '4G', 'band', 'necessari', 'run', 't-mobil', 'data', '.']",2,PRP VBD DT CD NNS JJ TO VB IN JJ IN NNS .,1
"Voice guidance is available in many languages from around the world","['NNP', 'NN', 'VBZ', 'JJ', 'IN', 'JJ', 'NNS', 'IN', 'IN', 'DT', 'NN']","voice control","['Voice', 'guidance', 'is', 'available', 'in', 'many', 'languages', 'from', 'around', 'the', 'world']","['voic', 'guidanc', 'is', 'avail', 'in', 'mani', 'languag', 'from', 'around', 'the', 'world']","['voic', 'guidanc', 'avail', 'mani', 'languag', 'around', 'world']",2,NNP NN VBZ JJ IN JJ NNS IN IN DT NN,3
you cant read office documents because there is not quickoffice available for this model,"['PRP', 'VBP', 'JJ', 'NN', 'NNS', 'IN', 'EX', 'VBZ', 'RB', 'JJ', 'JJ', 'IN', 'DT', 'NN']",customize-ability,"['you', 'cant', 'read', 'office', 'documents', 'because', 'there', 'is', 'not', 'quickoffice', 'available', 'for', 'this', 'model']","['you', 'cant', 'read', 'offic', 'document', 'becaus', 'there', 'is', 'not', 'quickoffic', 'avail', 'for', 'thi', 'model']","['cant', 'read', 'offic', 'document', 'becaus', 'quickoffic', 'avail', 'thi', 'model']",2,PRP VBP JJ NN NNS IN EX VBZ RB JJ JJ IN DT NN,0
I can go from computer to phone one file at a time or many to one all at once.,"['PRP', 'MD', 'VB', 'IN', 'NN', 'TO', 'NN', 'CD', 'NN', 'IN', 'DT', 'NN', 'CC', 'JJ', 'TO', 'CD', 'DT', 'IN', 'RB', '.']",connectivity,"['I', 'can', 'go', 'from', 'computer', 'to', 'phone', 'one', 'file', 'at', 'a', 'time', 'or', 'many', 'to', 'one', 'all', 'at', 'once', '.']","['I', 'can', 'go', 'from', 'comput', 'to', 'phone', 'one', 'file', 'at', 'a', 'time', 'or', 'mani', 'to', 'one', 'all', 'at', 'onc', '.']","['I', 'go', 'comput', 'phone', 'one', 'file', 'time', 'mani', 'one', 'onc', '.']",0,PRP MD VB IN NN TO NN CD NN IN DT NN CC JJ TO CD DT IN RB .,2
Nokia suit does not work with WP8 so i could not import my contacts.,"['NNP', 'NN', 'VBZ', 'RB', 'VB', 'IN', 'NNP', 'IN', 'RB', 'MD', 'RB', 'VB', 'PRP$', 'NNS', '.']",switching effectiveness #missing,"['Nokia', 'suit', 'does', 'not', 'work', 'with', 'WP8', 'so', 'i', 'could', 'not', 'import', 'my', 'contacts', '.']","['nokia', 'suit', 'doe', 'not', 'work', 'with', 'wp8', 'so', 'i', 'could', 'not', 'import', 'my', 'contact', '.']","['nokia', 'suit', 'doe', 'work', 'wp8', 'could', 'import', 'contact', '.']",2,NNP NN VBZ RB VB IN NNP IN RB MD RB VB PRP$ NNS .,3
It does not have the WAP internet configuration on the phone like my old one does,"['PRP', 'VBZ', 'RB', 'VB', 'DT', 'NNP', 'NN', 'NN', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'JJ', 'CD', 'VBZ']",internet features #missing,"['It', 'does', 'not', 'have', 'the', 'WAP', 'internet', 'configuration', 'on', 'the', 'phone', 'like', 'my', 'old', 'one', 'does']","['It', 'doe', 'not', 'have', 'the', 'wap', 'internet', 'configur', 'on', 'the', 'phone', 'like', 'my', 'old', 'one', 'doe']","['It', 'doe', 'wap', 'internet', 'configur', 'phone', 'like', 'old', 'one', 'doe']",3,PRP VBZ RB VB DT NNP NN NN IN DT NN IN PRP$ JJ CD VBZ,2
 it has the ability to adjust the font size to make the screen visable,"['PRP', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'NN', 'TO', 'VB', 'DT', 'NN', 'JJ']",customize-ability,"['it', 'has', 'the', 'ability', 'to', 'adjust', 'the', 'font', 'size', 'to', 'make', 'the', 'screen', 'visable']","['it', 'ha', 'the', 'abil', 'to', 'adjust', 'the', 'font', 'size', 'to', 'make', 'the', 'screen', 'visabl']","['ha', 'abil', 'adjust', 'font', 'size', 'make', 'screen', 'visabl']",1,PRP VBZ DT NN TO VB DT NN NN TO VB DT NN JJ,2
